6.25	8	6.75	8.25	2.25	7.25
7	7.75	4.75	8.25	2.5	4.5
7.25	6.75	4.25	7.5	3	4
5.25	6.5	5.5	7	2.5	6
7.75	7.75	4.75	6.5	2.5	4.75
3.75	4.25	1	3.5	1	2.75
4.75	5.75	1.75	7.25	1	2
7.25	8	6.75	8.25	5.5	7.25
9	9	8.75	7.25	6.5	8.25
5.75	5	5.5	8.75	2.25	8
7.75	7.75	4.25	7	2.75	3.25
1.25	4.25	1	2	1	1
7	7.25	1.75	7	1.5	5
8.25	8.75	4	9.25	1.25	7.75
5.25	7	6.75	5.75	1.75	2
6	5.5	5.75	7.25	4.25	5.75
7.75	9.25	3.5	9	1	7.25
4.25	7.75	2.5	7.75	1.75	2.25
6.25	6	7	6	3.25	3.75
6.75	5.75	7.25	6.25	2.5	5
6.5	8.25	6.25	7.5	5.5	7.25
8.5	7.5	3.25	9	1.5	5.5
7.25	8	6.5	6.75	2	6.5
6.5	6.5	3.25	7.5	3.5	6
6.25	5.75	5.75	5.75	3	4.75
7.25	8	3.5	8	1.75	6
7.5	7.25	7	6.75	1	7.5
8.25	8.5	6.75	9.25	5.25	8.5
7.25	8	2.5	6.75	1	5.75
6.5	4.25	7.5	6.25	1	7
9.25	8.75	6	8.5	3.5	6.75
5	7.25	4.5	7.75	2.25	6.25
7.75	4.25	5	4	2.5	7
8.25	6	5.5	5.75	3	7.75
6.5	7	5	7.5	1.75	6.25
9	6.25	5.25	7.75	2	7.25
6.75	6.25	3	7.25	1.25	6.5
6.75	6.5	7	7	6.25	7.5
5	4.25	5.75	4.25	1.75	4
5.25	4.75	4.75	7.25	1	3
5.5	6.5	5.25	6.25	6	5.25
7.75	7.5	3.25	6	2	4.25
7	7.75	3.75	7.5	3.5	7
6.25	5	4.5	6.25	3	3.25
5.5	7	2.25	6.5	1	2.25
8	7.75	3.25	7.75	2.25	6
4.5	7	2.25	6.25	1.5	4
7.75	8.25	6.25	7.25	2.25	7.25
8.25	7.75	8	8.5	1.5	6.25
6.75	8.25	4.5	8	2.25	6.25
7.75	8.25	7.25	8.25	7	7
8.75	8.75	8.75	7.75	4.75	6.75
2.5	3.75	4	4.25	1.25	1
7.25	6.5	7	8.25	7.75	7.25
8.25	9.75	5.25	8.5	1.75	6
8.5	9	6.5	8.25	4.5	6.25
7	7	6.25	5	1.25	4.25
2.5	6.25	5.5	5.5	1.25	5.25
6	8.5	5.25	7.75	4.5	8
5.25	5.75	6.5	6.75	3.5	6.25
5.75	5.75	5.25	5.75	3.5	5.5
9.75	8.75	8.25	8.5	2.5	8.25
5.5	7.75	3.5	7.75	2.25	6
8	8.75	4.75	8	3.75	8
5	5.5	3.75	4.5	2	2.5
6	6	6	5.75	5.5	5.5
5.5	6.5	5.75	7.25	3.75	4.25
6.5	6	4	5	2.25	7.5
7	7.75	7	8.25	3.25	5.25
7.75	6	6.25	6.25	1.25	3.5
4.25	4.75	5	5	2.75	4
7	9	4.25	5.25	1	3.5
5.5	5.25	6.25	5.75	3	3
7.25	6.5	7.25	8.25	1.75	4.5
6.25	6.25	7	7.25	1.5	7.25
7	8.25	5.25	8.75	2.5	7.25
4.75	5.75	2.25	7.75	1.25	6.25
6	6.75	6.5	6.75	3.5	6.5
5	7.5	8.75	10	1	3.5
7.75	4.75	6.25	6	1.25	4.25
7.75	8.25	6.75	7.75	3.5	7
6.25	7.25	5.25	6.5	3.25	6.75
6.75	7.5	7.25	7.75	4.25	7.25
8.5	4.5	6.25	4.5	1	7
5.25	6	4	4.5	1.5	4.5
8.75	6.5	2.75	4	1.75	4
5	5	4	5	2.75	4.25
6.5	8.5	8.5	7.25	3.5	5.25
4	3.25	4.5	4.5	1.75	1.75
4.5	5.25	2.75	6	1.5	3.5
6.5	7	6.25	8.25	1.5	5.25
9	7.75	7.5	8.75	8.25	7.5
1.75	5.25	1.5	5.75	1.25	2.25
9.5	9.5	3.25	9.5	1	6.25
7	7.75	5.5	5.75	2.25	7.75
5.5	5.5	5	5	2.75	4
6.5	8	4.25	8.75	2.75	5.75
9.5	10	8.75	8.5	1	6.75
7	7	5	7	2.25	6
7	6.5	5.5	6.75	3	6
7.25	9	7.75	8	8.75	8.25
9	8.25	8	8	3	8
7.5	7	6	7.75	1.75	5.5
7.25	6.5	3.75	6.75	3.75	7
7	6	4.75	7	2.75	6.5
3.25	3	3.25	3	2	2.75
3.5	8	2.5	5	3.75	7.25
8.5	10	5.25	9.25	1	3.75
8.25	4.75	7.25	4.25	1	3.25
5.5	8.25	5.25	7.25	1.5	4.25
5.5	6.25	6.5	7.5	2.5	3.25
5	7.5	7.75	6.75	2	4.25
5.75	3.75	2.75	6	1.5	5.5
6	6.5	7.5	6.5	1.5	4.5
9.25	5.5	3.75	7.5	1.5	6.5
6.75	7.25	6.5	7.5	1.5	7.75
