Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
731038f5047996fbb2637b97d06fe0ee6e95e49edd917a134af72147b975f4ee,f409affb8e527c50c3b3f33e53006108d7b5bf7defb7a1ae9f27920de128b214,APPROVED,Not Applicable,2024-02-28T16:11:44.956000Z,2024-02-28T16:39:40.798000Z,2024-02-28T16:39:41.791000Z,2024-02-28T16:39:41.707531Z,1676.0,CJNL5D58,207,"English, German",35,Female,Mixed,Germany,Germany,Germany,German,No,Full-Time
baef670c98862e8983d54d0dcad5d15845f8969d6a67775e71d197d894b54034,deb9a9bf3fb4ad85cdb10dae738621a8724a9bd44a3d706393e7e03bb443a66f,APPROVED,Not Applicable,2024-02-28T16:10:58.274000Z,2024-02-28T16:38:22.326000Z,2024-02-28T16:38:27.957000Z,2024-02-28T16:38:22.818119Z,1645.0,CJNL5D58,9,"English, German",34,Male,White,Germany,Germany,Germany,German,No,Full-Time
31bc7d3b5f495296ac9bcdae84d391f9235d40588414d4d179d0393d23d0cb8e,43af902b8d36ed66324a3cd8aa9e4452573a15405f8664a6546971b1ef725613,APPROVED,Not Applicable,2024-02-28T16:13:37.711000Z,2024-02-28T16:42:18.868000Z,2024-02-28T16:42:21.614000Z,2024-02-28T16:42:19.438065Z,1722.0,CJNL5D58,161,"English, German",34,Male,White,Germany,Germany,Germany,German,No,Full-Time
f9897180e17d485e57387af39f0f8e67e8ae19908e898265021ad91c878edf33,00c9b37d0be8390e8a47e9b6d585b7adbde3c45f127886a42e4e8d56de56c9ce,APPROVED,Not Applicable,2024-02-28T16:11:18.907000Z,2024-02-28T17:38:39.113000Z,2024-02-28T17:38:39.851000Z,2024-02-28T17:38:39.798820Z,5241.0,CJNL5D58,17,"English, German, Serbian",21,Female,Mixed,Germany,Germany,Serbia,German,Yes,Full-Time
fe72309b06d9eb8a5823f327c8cb9904f90fe307d425bb80afa7692eaeaf47fe,15cdf332b90e3b13126fb1e09f2a7e7c4a56465e8c0f57db4046dd499f4e7b7d,APPROVED,Not Applicable,2024-02-28T16:11:25.144000Z,2024-02-28T16:48:12.727000Z,2024-02-28T16:48:13.521000Z,2024-02-28T16:48:13.410057Z,2208.0,CJNL5D58,0,"English, German",21,Male,White,Germany,Germany,Germany,German,No,Full-Time
cf7dce5c5515e4e04720c4f8aab10406cf500f5385e79e166d9509517f97986f,18323770cf63081cb5b8c1a0f208f19f7ed3bd8c8f4b0dacafa0b744c1fa6c8c,RETURNED,Not Applicable,2024-02-28T16:11:15.687000Z,,,2024-05-06T13:45:01.159435Z,,,72,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
604fdedaac929d1722dc32f8be350a5e931ad3b895e2916250059aac210fb9f7,72dc4685fa8a728bde538ea48d45137ee8733e413fec61c6344698ff41830e53,APPROVED,Not Applicable,2024-02-28T16:11:46.191000Z,2024-02-28T16:30:00.480000Z,2024-02-28T16:30:01.137000Z,2024-02-28T16:30:00.982765Z,1095.0,CJNL5D58,117,"English, German",19,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
16e6872b639085f83d90a3ddda1ab72a386793c0609e3dbc7ddbe80c3e885d78,515bb8f3339f38ce6c7786281a4408ca78fccf994906ba754c6fb30e5c709194,APPROVED,Not Applicable,2024-02-28T16:13:45.418000Z,2024-02-28T16:32:50.103000Z,2024-02-28T16:32:50.670000Z,2024-02-28T16:32:50.602116Z,1145.0,CJNL5D58,113,"English, German",28,Male,Mixed,Germany,Germany,Germany,German,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
eb4227aab3f2271ce7ecac4e6b753200e3b5a7bc168f1c4acf03d1ad4ff384d2,2eb03cdee5b69db573f5d78ea0c20fb1f07158307f758043d0cb03cfcbdd00a7,APPROVED,Not Applicable,2024-02-28T16:11:25.989000Z,2024-02-28T16:54:14.095000Z,2024-02-28T16:54:14.746000Z,2024-02-28T16:54:14.668093Z,2569.0,CJNL5D58,23,"English, German, Italian",19,Male,White,Germany,Germany,Germany,German,Yes,Other
fa566b2ca376853322d4f3c33c17c128450079bd6184dca1b75eb698095cc2b0,719f38b7c873e84037508888e298b6b920c26c906c29123ae468a656a74c6441,APPROVED,Not Applicable,2024-02-28T16:11:45.688000Z,2024-02-28T16:51:41.687000Z,2024-02-28T16:51:42.483000Z,2024-02-28T16:51:42.388512Z,2396.0,CJNL5D58,1675,"German, English",36,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
