Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
683066eaee7d4859bddd2975,63c08fa9f3882764b4e8e7dd,APPROVED,Not Applicable,2025-05-23T12:15:43.452000Z,2025-05-23T12:20:14.320000Z,2025-05-27T05:21:39.335000Z,2025-05-23T12:20:14.827307Z,271.0,C1PE2AUF,1847,"English, German",33,Male,White,Germany,Germany,Germany,German,No,Full-Time
6830672b80206caf8346c678,5fff0b0bcbc37a5f5928ed26,APPROVED,Not Applicable,2025-05-23T12:16:43.438000Z,2025-05-23T12:22:11.571000Z,2025-05-23T12:22:15.946000Z,2025-05-23T12:22:12.057141Z,329.0,C1PE2AUF,3294,"English, German",42,Male,White,Germany,Germany,Germany,German,No,Full-Time
68306730b50e00670780b1c2,615dfd1954be2c1b879d6e26,APPROVED,Not Applicable,2025-05-23T12:16:48.375000Z,2025-05-23T12:27:45.713000Z,2025-05-23T12:27:46.980000Z,2025-05-23T12:27:46.190465Z,658.0,C1PE2AUF,988,"German, English",51,Male,White,Germany,Germany,Germany,German,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6830674515b8529169a5a12e,627bbf69ab2788507bc421a2,APPROVED,Not Applicable,2025-05-23T12:17:09.787000Z,2025-05-23T12:23:39.791000Z,2025-05-23T12:23:41.814000Z,2025-05-23T12:23:40.260584Z,391.0,C1PE2AUF,2491,"English, German",38,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
68306755f35c2a04ca3d89f6,60993696b2cca36f8aafd770,APPROVED,Not Applicable,2025-05-23T12:17:33.587000Z,2025-05-23T12:24:12.934000Z,2025-05-23T12:24:13.674000Z,2025-05-23T12:24:13.469238Z,400.0,C1PE2AUF,1877,"English, German",41,Female,White,Germany,Germany,Germany,German,No,Full-Time
6830677ab1c8ad19dbfc6fae,5e5832478c2b6f03f9acd234,APPROVED,Not Applicable,2025-05-23T12:18:14.879000Z,2025-05-23T12:23:51.275000Z,2025-05-23T12:23:51.948000Z,2025-05-23T12:23:51.824446Z,337.0,C1PE2AUF,1488,"English, French, German",54,Male,White,Germany,Germany,France,German,No,Full-Time
683067cbbb35a06f74f45915,5fbe72941cf1d201bc50c1d4,APPROVED,Not Applicable,2025-05-23T12:19:29.826000Z,2025-05-23T12:23:55.040000Z,2025-05-27T05:21:39.603000Z,2025-05-23T12:23:55.574647Z,266.0,C1PE2AUF,2228,"English, German",37,Female,White,Germany,Germany,Germany,German,No,Part-Time
68306809890a7c84d8a0514d,5a7fab56f49c9a0001f3549e,RETURNED,Not Applicable,2025-05-23T12:20:29.302000Z,,,2025-05-27T05:22:21.160174Z,,,4022,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6830694e889dd49f96c73a45,603d1af5db9042b99bfe211e,APPROVED,Not Applicable,2025-05-23T12:25:53.374000Z,2025-05-23T12:32:13.331000Z,2025-05-23T12:32:14.129000Z,2025-05-23T12:32:14.040841Z,380.0,C1PE2AUF,306,"English, German",26,Female,White,Germany,Germany,Germany,German,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68306a1d7d07f7a7607f79d9,63f6216fd56701af4b7188f4,APPROVED,Not Applicable,2025-05-23T12:29:21.981000Z,2025-05-23T12:33:53.868000Z,2025-05-27T05:21:39.839000Z,2025-05-23T12:33:54.351751Z,272.0,C1PE2AUF,1956,"English, German",32,Male,White,Germany,Germany,Germany,German,No,Full-Time
68306a37cda250e25ea3f669,603a80b01bb75f608c3dbb0d,APPROVED,Not Applicable,2025-05-23T12:29:48.412000Z,2025-05-23T12:33:56.608000Z,2025-05-27T05:21:40.099000Z,2025-05-23T12:33:57.178097Z,249.0,C1PE2AUF,1878,"English, German, French",39,Male,White,Germany,Germany,Germany,German,No,Full-Time
68306a4eea10b4ba02348516,5c79a584670f87001646cef6,APPROVED,Not Applicable,2025-05-23T12:30:49.833000Z,2025-05-23T12:50:55.762000Z,2025-05-23T12:50:56.361000Z,2025-05-23T12:50:56.275959Z,1206.0,C1PE2AUF,2461,"German, English",72,Female,White,Germany,Germany,Germany,German,No,DATA_EXPIRED
68306bfe1aba5f3e20bb5407,5ee7fbc114d0a60f9b076fb6,APPROVED,Not Applicable,2025-05-23T12:41:27.739000Z,2025-05-23T12:50:52.270000Z,2025-05-23T12:50:52.834000Z,2025-05-23T12:50:52.741687Z,565.0,C1PE2AUF,3152,"German, English",47,Male,White,Germany,Germany,Germany,German,No,Full-Time
68306cb8bde6020ece37d3bc,5da727bfc2a70a0011a128e0,APPROVED,Not Applicable,2025-05-23T12:41:06.741000Z,2025-05-23T12:48:31.659000Z,2025-05-23T12:48:32.280000Z,2025-05-23T12:48:32.195548Z,445.0,C1PE2AUF,2355,"German, English",62,Female,White,Germany,Germany,Germany,German,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68306d17fa038d101ef98359,582630568061bd0001327245,APPROVED,Not Applicable,2025-05-23T12:42:04.525000Z,2025-05-23T12:47:49.244000Z,2025-05-23T12:47:49.815000Z,2025-05-23T12:47:49.736843Z,345.0,C1PE2AUF,1233,"English, German",42,Female,White,Germany,Germany,Germany,German,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68306d28006c397f94880f1f,63408fcd2af6d768d5901d79,APPROVED,Not Applicable,2025-05-23T12:42:48.304000Z,2025-05-23T13:06:44.398000Z,2025-05-23T13:06:45.023000Z,2025-05-23T13:06:44.929090Z,1437.0,C1PE2AUF,1425,"German, English",36,Male,White,Germany,Germany,Germany,German,No,Full-Time
68306d9e49d9fed6acc6559b,63b6c7ef20c45fd1cff1ddca,APPROVED,Not Applicable,2025-05-23T12:44:28.740000Z,2025-05-23T12:56:50.355000Z,2025-05-23T12:56:53.896000Z,2025-05-23T12:56:50.905117Z,742.0,C1PE2AUF,1555,"German, English",47,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
68306dd0d8b8392777749645,5a942689b5e2110001c67d93,APPROVED,Not Applicable,2025-05-23T12:45:08.593000Z,2025-05-23T12:49:47.141000Z,2025-05-27T05:21:40.325000Z,2025-05-23T12:49:47.661398Z,279.0,C1PE2AUF,1488,"English, German",35,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,Full-Time
68306e2cce31aef70f3c5489,60f866ea13e9f2e5cf2fa8fc,APPROVED,Not Applicable,2025-05-23T12:51:22.912000Z,2025-05-23T13:15:25.904000Z,2025-05-23T13:15:26.956000Z,2025-05-23T13:15:26.857357Z,1443.0,C1PE2AUF,991,"German, English",25,Male,White,Germany,Germany,Germany,German,Yes,Part-Time
68306e7a71157a9115ce2229,627bea2e3c86071aa9717618,APPROVED,Not Applicable,2025-05-23T12:48:01.459000Z,2025-05-23T12:54:00.986000Z,2025-05-23T12:54:01.712000Z,2025-05-23T12:54:01.580074Z,360.0,C1PE2AUF,176,"English, German",23,Female,White,Germany,Germany,Germany,German,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68306e8dfe2beb29c0d56612,5c766ec88b00ca00164c0500,APPROVED,Not Applicable,2025-05-23T12:48:16.699000Z,2025-05-23T12:50:57.787000Z,2025-05-27T05:21:40.561000Z,2025-05-23T12:50:58.310351Z,162.0,C1PE2AUF,801,"English, German",26,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
68306ec42210c310513e0dd3,60915a5ad91c6f5cdcb5cf9f,APPROVED,Not Applicable,2025-05-23T12:49:48.103000Z,2025-05-23T13:00:35.635000Z,2025-05-23T13:00:36.186000Z,2025-05-23T13:00:36.087870Z,648.0,C1PE2AUF,921,"German, English",65,Female,White,Germany,Germany,Germany,German,DATA_EXPIRED,Full-Time
68306f1a2210c310513e0dec,63206e5a3c9c07646ab937e7,APPROVED,Not Applicable,2025-05-23T12:50:39.127000Z,2025-05-23T12:54:20.208000Z,2025-05-27T05:21:40.792000Z,2025-05-23T12:54:20.723505Z,222.0,C1PE2AUF,952,"English, German",27,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,Full-Time
68306f1d1083cc40f6322df7,5de41671e3e0cc4129b5e3c1,APPROVED,Not Applicable,2025-05-23T12:50:43.216000Z,2025-05-23T12:55:40.248000Z,2025-05-27T05:21:41.044000Z,2025-05-23T12:55:40.834332Z,298.0,C1PE2AUF,1601,"English, German",42,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,Full-Time
68306f91f49f44235a1d1939,631688f3ae7064f6b389cfbd,APPROVED,Not Applicable,2025-05-23T12:52:35.611000Z,2025-05-23T12:57:15.997000Z,2025-05-27T05:21:41.270000Z,2025-05-23T12:57:16.539398Z,281.0,C1PE2AUF,799,German,25,Male,White,Germany,Germany,Germany,German,No,Full-Time
68307001d0a71c151287b6e6,5bfb9bd1b7fc5f00019f46ba,APPROVED,Not Applicable,2025-05-23T12:54:25.935000Z,2025-05-23T12:59:12.879000Z,2025-05-27T05:21:41.499000Z,2025-05-23T12:59:13.435213Z,287.0,C1PE2AUF,444,"English, German",33,Male,White,Germany,Germany,Germany,German,No,Full-Time
683070911e554d172b320d47,633718959097b8dce21661f7,APPROVED,Not Applicable,2025-05-23T12:56:53.619000Z,2025-05-23T13:03:21.836000Z,2025-05-23T13:03:22.536000Z,2025-05-23T13:03:22.426372Z,389.0,C1PE2AUF,995,"English, German",34,Male,White,Germany,Germany,Germany,German,No,Full-Time
683070a503e4aee9687c09ae,60060089125e50636ad6719e,APPROVED,Not Applicable,2025-05-23T12:58:46.056000Z,2025-05-23T13:03:38.430000Z,2025-05-27T05:21:41.731000Z,2025-05-23T13:03:38.916805Z,293.0,C1PE2AUF,2043,"English, German",27,Female,White,Germany,Germany,Germany,German,No,Part-Time
683070f793fe3eadbfe5951a,615452aaabb932ada88ef3ca,APPROVED,Not Applicable,2025-05-23T12:58:34.439000Z,2025-05-23T13:06:37.814000Z,2025-05-23T13:06:38.355000Z,2025-05-23T13:06:38.271990Z,484.0,C1PE2AUF,1988,"English, German",35,Male,White,Germany,Germany,Germany,German,No,Full-Time
683071120ebd3803937896ae,63b6be975097f6e31872fc0e,APPROVED,Not Applicable,2025-05-23T12:59:03.410000Z,2025-05-23T13:03:28.924000Z,2025-05-27T05:21:41.974000Z,2025-05-23T13:03:29.487016Z,266.0,C1PE2AUF,1227,"English, German",28,Male,White,Germany,Germany,Germany,German,Yes,Part-Time
6830717c7454a34977d86176,5a1dc8e45d06850001b012b6,APPROVED,Not Applicable,2025-05-23T13:00:51.516000Z,2025-05-23T13:05:57.568000Z,2025-05-23T13:05:58.167000Z,2025-05-23T13:05:58.085236Z,307.0,C1PE2AUF,649,"English, German",27,Female,White,Germany,Germany,Germany,German,No,DATA_EXPIRED
6830717cb1a0fb0a2213f5de,6027eac2f4090f09439ee8e4,APPROVED,Not Applicable,2025-05-23T13:00:52.307000Z,2025-05-23T13:05:45.044000Z,2025-05-27T05:21:42.208000Z,2025-05-23T13:05:45.606182Z,293.0,C1PE2AUF,1899,"English, French, German",25,Female,White,Germany,Germany,Germany,German,No,Full-Time
